#SampleID	BarcodeSequence	LinkerPrimerSequence	Genotype	Origin	Site_planted	SampleType	Rhizo_Bulk	Root_Mass_mg	Shoot_Mass_g	pH	Phosphorus	Potassium	Calcium	Magnesium	Copper	Percent_Organic_Matter	Sodium	Nitrate	Ammonium	Percent_Moisture	TotalN	Sulfur	Soil_tempC	Air_TempC	Description
Mim57			SWB	Coastal	Inland	SWB (Coastal ecotype)	Rhizo	11.8	0.0266	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15	20	31.413624	MRR158
Mim58			MRR	Coastal	Inland	MRR (Coastal ecotype)	Rhizo	8.7	0.5298	6.3	3	162	2132	975	17.4	3.5	51	0.4	4.5	14.5	0.133	14	20.45	31.413624	MRR164
Mim66			OCC	Inland	Inland	OCC (Inland ecotype)	Rhizo	4	0.0558	6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19	20.5	28.018908	OCC164
Mim67			OCC	Inland	Inland	OCC (Inland ecotype)	Rhizo	3	0.012	6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19	20.4	28.018908	OCC161
Mim83			LMC	Inland	Inland	LMC (Inland ecotype)	Rhizo	4.7	0.0917	6.3	3	189	2635	1791	20.4	4.1	52	0.2	4.1	16.8	0.143	14	20.5	28.018908	LMC239
Mim87			LMC	Inland	Inland	LMC (Inland ecotype)	Rhizo	2.1	0.016	6	4	160	2556	1602	25.2	6.1	52	1.1	7.2	19.1	0.239	21	23	28.018908	OCC229
Mim93			LMC	Inland	Inland	LMC (Inland ecotype)	Rhizo	10.3	0.0115	6	4	186	2551	1737	22	5.5	48	0.4	7.4	11.5	0.21	18	22.1	28.018908	MRR227
Mim97			SWB	Coastal	Inland	SWB (Coastal ecotype)	Rhizo	43.6	0.4276	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15	21.23	31.413624	LMC231
Mim98			OCC	Inland	Inland	OCC (Inland ecotype)	Rhizo	13.7	0.0125	6.3	3	162	2132	975	17.4	3.5	51	0.4	4.5	14.5	0.133	14	22.3	28.018908	LMC242
Mim116			BulkSoil	Inland	Inland	Bulk Soil	Bulk			6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19			Bulk116
Mim124			BulkSoil	Inland	Inland	Bulk Soil	Bulk			6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15			Bulk124
Mim129			BulkSoil	Inland	Inland	Bulk Soil	Bulk			6.3	3	189	2635	1791	20.4	4.1	52	0.2	4.1	16.8	0.143	14			Bulk129
Mim132			BulkSoil	Inland	Inland	Bulk Soil	Bulk			6	4	186	2551	1737	22	5.5	48	0.4	7.4	11.5	0.21	18			Bulk132
Mim139			BulkSoil	Inland	Inland	Bulk Soil	Bulk			6	4	160	2556	1602	25.2	6.1	52	1.1	7.2	19.1	0.239	21			Bulk139
Mim261			BulkSoil	Coastal	Coastal	Bulk Soil	Bulk			6.2	14	42	697	220	2.7	3.1	132	0	3.2	27.9	0.086	20			Bulk261
Mim266			BulkSoil	Coastal	Coastal	Bulk Soil	Bulk			5.9	19	48	789	223	2.4	3.6	143	0	6.1	35.6	0.171	28			Bulk266
Mim271			BulkSoil	Coastal	Coastal	Bulk Soil	Bulk			6.2	19	53	750	213	2.2	3	114	0	4.5	34.3	0.114	22			Bulk271
Mim277			BulkSoil	Coastal	Coastal	Bulk Soil	Bulk			6	16	40	996	262	2.9	4.4	160	0	6.1	40.7	0.187	29			Bulk277
Mim286			BulkSoil	Coastal	Coastal	Bulk Soil	Bulk			6.1	19	63	709	219	1.9	3.2	130	0	6.4	32.7	0.135	19			Bulk286
