OTUID	Mim109	Mim116	Mim11	Mim124	Mim129	Mim12	Mim132	Mim139	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim261	Mim266	Mim271	Mim277	Mim286	Mim2	Mim31	Mim32	Mim46	Mim47	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
ZOTU5564	3.0	4.0	2.0	6.0	4.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	4.0	2.0	0.0	0.0	1.0	1.0	2.0	3.0	3.0	3.0	5.0	0.0
ZOTU14432	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0
ZOTU89	30.0	85.0	40.0	27.0	40.0	58.0	18.0	10.0	68.0	41.0	9.0	22.0	22.0	12.0	15.0	18.0	16.0	8.0	9.0	2.0	68.0	3.0	41.0	10.0	6.0	71.0	2.0	4.0	8.0	13.0	13.0	13.0	22.0	18.0	25.0	83.0	32.0	98.0	64.0	20.0	25.0	39.0	39.0	52.0	50.0	39.0	57.0	31.0	90.0
ZOTU87	58.0	48.0	17.0	18.0	25.0	15.0	10.0	15.0	5.0	5.0	9.0	3.0	7.0	7.0	8.0	5.0	4.0	2.0	2.0	2.0	61.0	5.0	24.0	6.0	5.0	29.0	5.0	10.0	23.0	5.0	5.0	25.0	7.0	6.0	11.0	26.0	40.0	16.0	85.0	77.0	161.0	37.0	27.0	44.0	31.0	60.0	19.0	54.0	18.0
ZOTU256	21.0	24.0	11.0	50.0	19.0	4.0	19.0	8.0	8.0	9.0	9.0	5.0	9.0	5.0	12.0	5.0	14.0	5.0	11.0	7.0	4.0	2.0	16.0	4.0	9.0	7.0	7.0	4.0	4.0	9.0	14.0	14.0	26.0	21.0	18.0	6.0	17.0	14.0	8.0	3.0	13.0	13.0	9.0	11.0	20.0	14.0	11.0	14.0	13.0
ZOTU799	2.0	9.0	4.0	6.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	14.0	1.0	7.0	0.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	7.0	9.0	9.0	19.0	2.0	3.0	13.0	7.0	14.0	17.0	24.0	8.0	15.0	12.0
ZOTU15277	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	1.0
ZOTU4051	2.0	10.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	1.0	7.0	4.0	7.0	5.0	0.0	0.0	16.0	5.0	7.0	2.0	0.0	0.0	13.0	3.0
ZOTU9426	4.0	1.0	5.0	6.0	3.0	8.0	6.0	1.0	6.0	1.0	1.0	0.0	1.0	1.0	4.0	4.0	3.0	1.0	3.0	3.0	0.0	0.0	8.0	4.0	3.0	3.0	0.0	0.0	2.0	3.0	3.0	0.0	3.0	3.0	1.0	2.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	5.0	9.0	3.0	4.0	0.0
ZOTU750	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
ZOTU859	8.0	13.0	6.0	17.0	18.0	3.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	3.0	6.0	5.0	4.0	13.0	19.0	6.0	7.0	9.0	5.0	11.0	5.0
ZOTU2654	5.0	0.0	4.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	14.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	13.0
ZOTU312	31.0	21.0	22.0	15.0	10.0	9.0	5.0	14.0	17.0	26.0	18.0	16.0	21.0	30.0	22.0	32.0	12.0	10.0	16.0	22.0	15.0	20.0	15.0	27.0	24.0	7.0	27.0	26.0	18.0	27.0	12.0	10.0	5.0	9.0	13.0	22.0	10.0	10.0	35.0	18.0	34.0	24.0	20.0	22.0	19.0	19.0	31.0	16.0	25.0
ZOTU586	33.0	16.0	48.0	72.0	34.0	44.0	36.0	11.0	7.0	7.0	4.0	18.0	6.0	16.0	10.0	3.0	4.0	2.0	4.0	8.0	14.0	1.0	28.0	4.0	4.0	70.0	8.0	11.0	8.0	3.0	39.0	4.0	14.0	8.0	7.0	14.0	14.0	15.0	1.0	6.0	1.0	4.0	8.0	2.0	8.0	28.0	22.0	11.0	18.0
ZOTU531	18.0	1.0	17.0	11.0	5.0	129.0	27.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	56.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	15.0	0.0	5.0	2.0	4.0	5.0	7.0	6.0	11.0	0.0
ZOTU102	46.0	20.0	25.0	28.0	12.0	7.0	37.0	12.0	59.0	81.0	80.0	127.0	99.0	65.0	87.0	79.0	60.0	56.0	62.0	68.0	24.0	69.0	11.0	97.0	99.0	9.0	200.0	117.0	94.0	60.0	120.0	129.0	99.0	74.0	108.0	29.0	30.0	32.0	38.0	1.0	13.0	23.0	17.0	14.0	34.0	47.0	22.0	15.0	37.0
ZOTU8930	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0
ZOTU77	82.0	74.0	34.0	42.0	34.0	66.0	93.0	40.0	6.0	7.0	6.0	13.0	18.0	32.0	11.0	24.0	6.0	9.0	4.0	3.0	89.0	3.0	59.0	17.0	13.0	61.0	25.0	18.0	21.0	30.0	16.0	7.0	9.0	4.0	5.0	49.0	74.0	35.0	43.0	39.0	50.0	53.0	38.0	33.0	68.0	96.0	82.0	88.0	42.0
ZOTU5067	6.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	14.0	3.0	0.0	2.0	0.0	18.0	1.0	5.0	0.0	1.0	3.0	3.0	0.0	1.0	0.0	3.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0
ZOTU4097	3.0	0.0	2.0	18.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	3.0	1.0	0.0
ZOTU2	191.0	445.0	274.0	148.0	132.0	235.0	188.0	209.0	141.0	136.0	168.0	275.0	314.0	243.0	128.0	196.0	76.0	94.0	89.0	81.0	346.0	101.0	320.0	138.0	253.0	325.0	258.0	161.0	126.0	183.0	173.0	95.0	114.0	71.0	91.0	282.0	286.0	190.0	414.0	400.0	464.0	492.0	478.0	471.0	366.0	288.0	188.0	296.0	242.0
ZOTU1132	38.0	4.0	7.0	1.0	6.0	1.0	3.0	0.0	0.0	1.0	4.0	12.0	2.0	4.0	2.0	7.0	0.0	0.0	0.0	2.0	8.0	0.0	4.0	0.0	1.0	3.0	1.0	2.0	5.0	11.0	4.0	3.0	2.0	0.0	2.0	14.0	8.0	10.0	0.0	0.0	0.0	1.0	6.0	1.0	6.0	14.0	10.0	2.0	6.0
ZOTU635	23.0	27.0	17.0	19.0	11.0	2.0	8.0	4.0	2.0	0.0	4.0	3.0	1.0	7.0	1.0	2.0	0.0	0.0	0.0	0.0	41.0	0.0	25.0	0.0	0.0	21.0	3.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	40.0	31.0	29.0	18.0	0.0	1.0	17.0	24.0	19.0	43.0	57.0	13.0	29.0	38.0
ZOTU267	13.0	18.0	13.0	10.0	9.0	12.0	21.0	5.0	13.0	12.0	12.0	12.0	1.0	10.0	2.0	7.0	0.0	2.0	5.0	1.0	8.0	3.0	13.0	7.0	4.0	10.0	4.0	6.0	1.0	4.0	5.0	6.0	4.0	4.0	8.0	22.0	14.0	15.0	19.0	19.0	11.0	24.0	18.0	14.0	16.0	21.0	12.0	14.0	10.0
ZOTU103	51.0	60.0	40.0	16.0	7.0	13.0	8.0	10.0	27.0	17.0	28.0	45.0	42.0	27.0	18.0	34.0	29.0	29.0	33.0	29.0	51.0	39.0	27.0	18.0	42.0	42.0	32.0	26.0	16.0	34.0	14.0	11.0	24.0	18.0	11.0	44.0	38.0	27.0	35.0	28.0	34.0	38.0	51.0	27.0	46.0	51.0	39.0	42.0	32.0
ZOTU12033	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0
ZOTU11074	6.0	0.0	4.0	9.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0
ZOTU345	157.0	3.0	15.0	187.0	63.0	3.0	10.0	3.0	1.0	0.0	27.0	1.0	3.0	1.0	6.0	1.0	17.0	4.0	1.0	1.0	3.0	7.0	26.0	2.0	0.0	15.0	12.0	0.0	0.0	0.0	3.0	1.0	6.0	17.0	0.0	0.0	39.0	92.0	0.0	0.0	1.0	0.0	1.0	0.0	225.0	167.0	119.0	24.0	85.0
ZOTU5579	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	6.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
ZOTU250	20.0	24.0	11.0	18.0	28.0	20.0	40.0	22.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	51.0	0.0	38.0	0.0	0.0	31.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	24.0	17.0	15.0	14.0	25.0	27.0	21.0	14.0	29.0	46.0	23.0	44.0	10.0
ZOTU494	7.0	0.0	1.0	9.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	9.0	12.0	3.0	1.0
ZOTU1089	5.0	19.0	9.0	8.0	4.0	14.0	6.0	7.0	27.0	22.0	14.0	25.0	10.0	14.0	5.0	4.0	0.0	1.0	1.0	0.0	12.0	0.0	8.0	7.0	27.0	10.0	2.0	15.0	9.0	7.0	6.0	3.0	10.0	4.0	3.0	19.0	12.0	10.0	56.0	14.0	13.0	40.0	37.0	32.0	12.0	5.0	2.0	22.0	12.0
ZOTU75	15.0	8.0	18.0	13.0	43.0	17.0	41.0	13.0	86.0	94.0	125.0	91.0	44.0	91.0	107.0	94.0	119.0	118.0	93.0	144.0	13.0	103.0	17.0	67.0	64.0	14.0	16.0	65.0	167.0	71.0	40.0	37.0	62.0	55.0	56.0	11.0	19.0	0.0	22.0	26.0	62.0	26.0	12.0	29.0	11.0	16.0	27.0	24.0	2.0
ZOTU18104	2.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
ZOTU118	21.0	0.0	0.0	11.0	0.0	0.0	2.0	2.0	99.0	93.0	85.0	36.0	41.0	35.0	120.0	54.0	81.0	63.0	55.0	62.0	0.0	16.0	0.0	32.0	66.0	1.0	56.0	44.0	130.0	126.0	151.0	142.0	180.0	97.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	11.0	23.0	23.0	0.0	0.0
ZOTU1008	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	11.0	9.0	15.0	10.0	16.0	34.0	20.0	16.0	8.0	27.0	32.0	52.0	0.0	90.0	0.0	16.0	3.0	0.0	6.0	16.0	2.0	16.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0
ZOTU1733	3.0	1.0	10.0	7.0	10.0	8.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	11.0	11.0	2.0	14.0	18.0	17.0	1.0	5.0	2.0	1.0	0.0
ZOTU406	10.0	33.0	33.0	24.0	20.0	23.0	32.0	14.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	31.0	0.0	12.0	0.0	0.0	32.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	14.0	46.0	13.0	23.0	15.0	7.0	19.0	17.0	7.0	41.0	18.0	12.0	54.0	12.0
ZOTU47	63.0	0.0	0.0	364.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	551.0	77.0	6.0	0.0	0.0
ZOTU17543	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0
ZOTU2362	15.0	1.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	16.0	1.0	0.0	1.0
ZOTU604	6.0	3.0	9.0	2.0	8.0	11.0	7.0	6.0	3.0	8.0	9.0	12.0	5.0	15.0	20.0	16.0	3.0	2.0	2.0	1.0	10.0	6.0	4.0	1.0	13.0	6.0	5.0	2.0	39.0	7.0	5.0	1.0	4.0	1.0	8.0	10.0	5.0	6.0	13.0	6.0	1.0	3.0	6.0	5.0	8.0	5.0	7.0	6.0	5.0
ZOTU4576	2.0	0.0	3.0	0.0	2.0	5.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	4.0	0.0	0.0	1.0	0.0	5.0	3.0	6.0	0.0	0.0	8.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	7.0	6.0	0.0	2.0	3.0	0.0	0.0	2.0	5.0	6.0	5.0	12.0	1.0	2.0
ZOTU8073	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZOTU6055	2.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	2.0	0.0
ZOTU2089	19.0	2.0	6.0	4.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	5.0	2.0	0.0	0.0	0.0	1.0	2.0	9.0	9.0	10.0	10.0	10.0
ZOTU200	31.0	45.0	19.0	13.0	24.0	18.0	42.0	34.0	18.0	33.0	50.0	115.0	31.0	18.0	31.0	41.0	47.0	46.0	71.0	41.0	28.0	61.0	6.0	33.0	32.0	13.0	41.0	39.0	52.0	15.0	96.0	32.0	26.0	53.0	29.0	50.0	15.0	32.0	79.0	102.0	20.0	68.0	71.0	50.0	28.0	38.0	13.0	13.0	30.0
ZOTU6393	1.0	0.0	1.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
ZOTU5096	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	2.0	0.0	1.0	2.0	1.0	2.0	1.0	3.0	0.0	3.0	0.0	5.0	6.0	0.0	3.0	3.0	1.0	4.0	5.0	7.0	1.0	4.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0
ZOTU9433	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
ZOTU68	20.0	20.0	7.0	13.0	3.0	6.0	6.0	3.0	47.0	57.0	65.0	81.0	102.0	90.0	54.0	55.0	69.0	62.0	62.0	67.0	7.0	70.0	4.0	71.0	53.0	10.0	105.0	66.0	59.0	84.0	22.0	12.0	26.0	35.0	9.0	12.0	4.0	19.0	12.0	7.0	14.0	13.0	25.0	13.0	19.0	20.0	17.0	16.0	38.0
ZOTU1657	27.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	4.0	1.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	24.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	3.0	4.0	7.0	14.0
ZOTU744	14.0	2.0	8.0	4.0	10.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	17.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	20.0	6.0	14.0	4.0	3.0	17.0	11.0	14.0	19.0	14.0	5.0	10.0	6.0
ZOTU191	15.0	14.0	13.0	4.0	15.0	25.0	24.0	38.0	0.0	1.0	2.0	2.0	2.0	0.0	5.0	12.0	2.0	0.0	0.0	0.0	36.0	1.0	25.0	2.0	0.0	28.0	3.0	3.0	4.0	5.0	3.0	3.0	1.0	0.0	0.0	18.0	26.0	15.0	41.0	50.0	82.0	56.0	38.0	37.0	19.0	33.0	12.0	26.0	7.0
ZOTU2069	9.0	6.0	8.0	7.0	5.0	6.0	14.0	1.0	3.0	1.0	1.0	2.0	4.0	3.0	4.0	4.0	2.0	3.0	12.0	4.0	8.0	20.0	4.0	0.0	0.0	1.0	3.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	4.0	5.0	6.0	13.0	6.0	9.0	10.0	10.0	15.0	10.0	9.0	7.0	12.0	2.0	20.0
ZOTU2071	9.0	16.0	23.0	14.0	16.0	25.0	22.0	15.0	0.0	3.0	1.0	0.0	2.0	2.0	4.0	7.0	8.0	1.0	1.0	4.0	7.0	1.0	14.0	1.0	1.0	10.0	2.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0	4.0	19.0	19.0	7.0	15.0	6.0	3.0	12.0	14.0	8.0	7.0	4.0	5.0	8.0	3.0
