OTUID	Mim109	Mim116	Mim11	Mim124	Mim129	Mim12	Mim132	Mim139	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim261	Mim266	Mim271	Mim277	Mim286	Mim2	Mim31	Mim32	Mim46	Mim47	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
ZOTU5981	1.0	1.0	2.0	3.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	1.0	2.0	3.0	1.0	3.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZOTU16	226.0	123.0	138.0	372.0	438.0	189.0	309.0	277.0	12.0	21.0	28.0	20.0	20.0	26.0	36.0	27.0	24.0	39.0	18.0	15.0	113.0	25.0	123.0	18.0	25.0	171.0	25.0	30.0	32.0	25.0	109.0	84.0	79.0	36.0	39.0	102.0	199.0	132.0	126.0	94.0	105.0	121.0	82.0	133.0	116.0	206.0	136.0	185.0	95.0
ZOTU18	133.0	76.0	56.0	90.0	83.0	40.0	57.0	32.0	198.0	116.0	85.0	85.0	64.0	54.0	76.0	95.0	60.0	53.0	64.0	45.0	31.0	49.0	36.0	87.0	152.0	83.0	151.0	101.0	121.0	111.0	143.0	189.0	104.0	211.0	226.0	33.0	29.0	127.0	15.0	8.0	17.0	9.0	13.0	13.0	47.0	85.0	74.0	26.0	99.0
ZOTU86	81.0	47.0	45.0	66.0	82.0	27.0	192.0	151.0	39.0	45.0	73.0	54.0	135.0	138.0	160.0	76.0	100.0	109.0	65.0	83.0	32.0	96.0	62.0	98.0	130.0	50.0	101.0	156.0	66.0	44.0	150.0	182.0	127.0	84.0	106.0	45.0	31.0	32.0	74.0	105.0	198.0	136.0	56.0	78.0	39.0	51.0	43.0	38.0	32.0
ZOTU2399	2.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	2.0	6.0	5.0	16.0	0.0	1.0	4.0	8.0	5.0	2.0	23.0	0.0	3.0	7.0	2.0	6.0	0.0	9.0	1.0	1.0	0.0	6.0	2.0	7.0	4.0	2.0	9.0	4.0	20.0	2.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	6.0
ZOTU210	9.0	31.0	30.0	22.0	6.0	35.0	16.0	10.0	18.0	7.0	9.0	6.0	15.0	11.0	5.0	13.0	6.0	8.0	1.0	8.0	26.0	4.0	48.0	6.0	2.0	18.0	12.0	1.0	7.0	10.0	5.0	0.0	12.0	2.0	6.0	23.0	16.0	21.0	28.0	18.0	9.0	25.0	48.0	13.0	10.0	24.0	29.0	12.0	24.0
ZOTU12498	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0
ZOTU612	17.0	21.0	6.0	8.0	6.0	7.0	3.0	7.0	3.0	2.0	5.0	1.0	8.0	2.0	4.0	3.0	5.0	2.0	1.0	0.0	6.0	4.0	15.0	1.0	4.0	7.0	0.0	4.0	2.0	2.0	2.0	3.0	3.0	4.0	0.0	7.0	21.0	13.0	8.0	0.0	8.0	11.0	22.0	6.0	10.0	8.0	6.0	26.0	7.0
ZOTU1897	12.0	1.0	4.0	8.0	2.0	0.0	2.0	0.0	2.0	2.0	1.0	3.0	2.0	1.0	4.0	1.0	22.0	6.0	8.0	17.0	14.0	2.0	2.0	6.0	2.0	4.0	4.0	1.0	1.0	8.0	1.0	1.0	0.0	4.0	2.0	8.0	9.0	6.0	0.0	0.0	0.0	1.0	2.0	1.0	6.0	12.0	11.0	16.0	7.0
ZOTU1775	29.0	7.0	13.0	23.0	35.0	15.0	8.0	3.0	8.0	7.0	7.0	4.0	2.0	11.0	6.0	2.0	0.0	0.0	2.0	1.0	16.0	1.0	12.0	1.0	1.0	14.0	10.0	10.0	5.0	0.0	13.0	1.0	0.0	1.0	0.0	9.0	3.0	23.0	5.0	2.0	2.0	8.0	11.0	5.0	15.0	19.0	22.0	12.0	16.0
