	Mim109	Mim116	Mim11	Mim124	Mim129	Mim12	Mim132	Mim139	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim261	Mim266	Mim271	Mim277	Mim286	Mim2	Mim31	Mim32	Mim46	Mim47	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
Mim109	0.0	0.2063798268766216	0.17633091840386508	0.23068386060660284	0.25914446855148965	0.2222711027109242	0.31151253735349377	0.3124294528943366	0.27115647982463986	0.28366480093048224	0.25415975753780085	0.25821592958754586	0.27899658629328083	0.2765865916614476	0.271941501297307	0.2710675208016462	0.27527908562226	0.2784578473651248	0.2680198456652053	0.2703829283349736	0.18412819987474277	0.29548973830186986	0.18313105216068712	0.2860367728370762	0.3305874841191733	0.17572297485908564	0.25604091482508723	0.2876871257940413	0.22986847991410933	0.2762496081238257	0.25659523485729624	0.2888181846649369	0.27042135725149863	0.2722796251230205	0.2747938194506576	0.18079761787599533	0.16567882526617156	0.18882577659479288	0.21726919969580388	0.27196092242999015	0.24647477364230114	0.22316714055649994	0.18284020220094838	0.19612238480808802	0.12528045495213386	0.09847137425069338	0.17666891652500671	0.1806933698666905	0.20386410977901046
Mim116	0.2063798268766216	0.0	0.23282886821150578	0.2932899673436521	0.3232980746175181	0.2874951605976559	0.3674673789925741	0.3721399668963049	0.23289845665205333	0.2598053712982017	0.247355304196117	0.23319592019325397	0.2672751981748233	0.2566459649279771	0.29875644672094476	0.2461914579046256	0.33661452223315735	0.32284717410754227	0.3048654218484388	0.29578154290059944	0.22675896618054936	0.2990943500044735	0.2573575489845218	0.2793274425158808	0.3046453068802004	0.24659531761653392	0.26887679788852104	0.2672621687393755	0.2752998662431779	0.2633546492797709	0.31008768587277447	0.3331699172407623	0.3219024304375056	0.3383076286123289	0.32772913975127493	0.2219446962512302	0.24033051310727385	0.17782073096537532	0.2431224282007694	0.2930603288002147	0.30725733112642034	0.23823691554084278	0.17435606110763174	0.21299225194596044	0.23789907309653754	0.22205330186991143	0.1984813845396797	0.2460985666994721	0.17992766484745457
Mim11	0.17633091840386508	0.23282886821150578	0.0	0.20334418493334527	0.21375831886910618	0.16703247204079805	0.2726317289970475	0.25823283170797173	0.3311128692851391	0.3428335622259998	0.306463897736423	0.3112170716650264	0.3318427476066923	0.33082777578956785	0.333296452983806	0.32656997897468015	0.3510647154871611	0.3470309175091706	0.3377695589156303	0.33074031627449224	0.17885484879663593	0.3470526670841908	0.1212074335689362	0.33495626867674694	0.3770075123020489	0.13368286078554173	0.29935405922877334	0.3342442784289165	0.291464554442158	0.3114683971548716	0.3187471741075423	0.33540442739554444	0.3320503261161313	0.34261322939966	0.33366180057260447	0.1891521848438758	0.16193049163460677	0.208956108079091	0.1925267853627986	0.209142280128836	0.21990442068533597	0.20946294757090456	0.1846389599176881	0.16881316542900598	0.20969084369687752	0.19999433434732042	0.24619442023798874	0.1709839080254093	0.23174599982106112
Mim124	0.23068386060660284	0.2932899673436521	0.20334418493334527	0.0	0.17417126822939966	0.2445162284154961	0.22355917867048403	0.2508286351435985	0.3271968895947034	0.3457512767289971	0.32450372550773915	0.33423961214995074	0.3675400317616534	0.34498206719155405	0.3297845853091169	0.3302376970564552	0.35172485103337214	0.37424953654826876	0.35762970072470246	0.35177267245235755	0.3104585881721392	0.3833259626912409	0.22716737765053233	0.3744290185201754	0.4024317446542006	0.226598159613492	0.3278181600608392	0.35554355417374967	0.31548469446184124	0.33569852643822135	0.31212593003489314	0.32272563478572064	0.32356282902388833	0.3189807828576541	0.3123990229936477	0.3075496864095911	0.26175516328173926	0.274933781426143	0.27972874519101726	0.2723113259371924	0.29436824595150757	0.3032909940055471	0.27234841460141357	0.26059416614476155	0.2439998134562047	0.25405648027198713	0.2676398398496913	0.27279621767916257	0.29983841057528854
Mim129	0.25914446855148965	0.3232980746175181	0.21375831886910618	0.17417126822939966	0.0	0.20946146014136174	0.13514210834749932	0.15496678625749308	0.3809724756195759	0.39807023396260177	0.3680191826966091	0.374800093048224	0.3803549190301512	0.3889240985953297	0.3796405488950524	0.37858536414064603	0.383076406459694	0.39443382437147717	0.3856765634785721	0.38562195624944084	0.30332999150040263	0.3990248984521786	0.22472448107721213	0.3886666202916704	0.42841357833050014	0.22266504562941755	0.3582581891384092	0.37954019951686496	0.3228390019683278	0.3623265048760848	0.3251036141182786	0.3298259975843249	0.3426278979153619	0.3476538682115058	0.3380371016372909	0.3176097629059676	0.25953879260982377	0.3170998514807193	0.257937233604724	0.19563013196743312	0.22681251856491008	0.26621998165876354	0.28920759192985596	0.24307533327368702	0.28104153440100205	0.2819894806298649	0.31567650845486267	0.2659130294354478	0.3406728388655274
Mim12	0.2222711027109242	0.2874951605976559	0.16703247204079805	0.2445162284154961	0.20946146014136174	0.0	0.2602273118904894	0.25797706629685957	0.38279112731502196	0.3961565415585578	0.3645091012794131	0.3603378536279861	0.3821058996152814	0.3853935376219021	0.39009760177149505	0.38009779860427667	0.3883627623691509	0.39177317840207565	0.38330094300796275	0.3805741491455668	0.2014199906057082	0.3992828021830545	0.13526361590766753	0.3894823857027825	0.4252772671557663	0.16185740493871342	0.3579943732665295	0.385923072380782	0.32621940726491905	0.37043002281470877	0.3387408128299186	0.3522067688109511	0.3487206356804151	0.3557106616265545	0.34632125570367717	0.23440066028451284	0.1768555931824282	0.2697034069965107	0.2106899838954997	0.21669493289791536	0.22504279323610987	0.21686594569204615	0.22747398541648028	0.20034640243356894	0.23686693209269036	0.23511706048134565	0.30033787107452803	0.1820840637022457	0.2934654102174108
Mim132	0.31151253735349377	0.3674673789925741	0.2726317289970475	0.22355917867048403	0.13514210834749932	0.2602273118904894	0.0	0.1790653963496466	0.42867649235036237	0.44287019683278156	0.41536214816140293	0.41896432182159793	0.4203149633175271	0.42748000849959733	0.42176574751722284	0.4213792305627628	0.4221371056634159	0.4362922895231279	0.42537440771226626	0.4283180638811846	0.3515651203364051	0.429135094837613	0.27683341146998297	0.4294309331663237	0.46004426142972177	0.2681913554621097	0.3992440006262861	0.41633349870269304	0.3643562208105932	0.4032139974948555	0.3503383349736065	0.3433860141361725	0.3759889451552295	0.3715654755301064	0.36546437237183504	0.3779211492350363	0.3033838981837703	0.38022937326652945	0.3074486915093495	0.2366353064328532	0.2547891129104411	0.3112503542990069	0.33905379797799057	0.29701484611255263	0.3306907743580567	0.3276956589424711	0.36481994631833226	0.3150123883868659	0.40389598147982464
Mim139	0.3124294528943366	0.3721399668963049	0.25823283170797173	0.2508286351435985	0.15496678625749308	0.25797706629685957	0.1790653963496466	0.0	0.42104867495750203	0.4283187935045182	0.3966948640064417	0.39913119173302314	0.4082657126241388	0.4121438266082133	0.3917842081954013	0.4047165648206138	0.41570451954907406	0.42283535340431244	0.4128938820792699	0.40989424129909635	0.3467466730786436	0.4364471316095553	0.25846471190838327	0.41961780576183233	0.45370805896036503	0.25625616936566165	0.3881838471861859	0.40403816766574213	0.3470404710566342	0.39177564328531805	0.36203022859443507	0.3706603663773821	0.3728460172676031	0.3990735174912768	0.3768719866690525	0.3656804410843697	0.311389876084817	0.371824372371835	0.26094787241656975	0.1709825306432853	0.20856787152187525	0.2782837850049208	0.3050223678088932	0.24850325310906324	0.3426724854612149	0.336045397244341	0.3740688498702693	0.3232179806745996	0.3942791285675942
Mim141	0.27115647982463986	0.23289845665205333	0.3311128692851391	0.3271968895947034	0.3809724756195759	0.38279112731502196	0.42867649235036237	0.42104867495750203	0.0	0.1048704719513286	0.13335095687572693	0.15757436968775163	0.20658518654379532	0.16258876711103154	0.17881685738570277	0.1364310588708956	0.2236369370135099	0.22989167442068534	0.1904440932271629	0.18687078062091797	0.3459016082132952	0.22833251051265993	0.35575577212132053	0.21409766618949627	0.2427750304196117	0.340490637469804	0.1944825042497987	0.18613373534937816	0.18579779055202647	0.18128248054039545	0.21557799096358593	0.2462528795741254	0.2360021960275566	0.22206303793504514	0.21130058468283083	0.3199293862395992	0.34780766350541287	0.2557792099847902	0.3552149261877069	0.38452428603381944	0.39801999284244427	0.35361204035072025	0.29211760535027287	0.31873190122573136	0.3195170126151919	0.3013364350899168	0.22427561554978975	0.3540377060033999	0.266122942650085
Mim143	0.28366480093048224	0.2598053712982017	0.3428335622259998	0.3457512767289971	0.39807023396260177	0.3961565415585578	0.44287019683278156	0.4283187935045182	0.1048704719513286	0.0	0.10962383644985238	0.13856844725776146	0.18611697548537173	0.1341304182696609	0.15455336047239868	0.1084335313590409	0.20236269124094122	0.2007408204348215	0.1616882056902568	0.160212531985327	0.35665949807640696	0.20657284199695805	0.3657197790104679	0.19386864990605707	0.2010754871611345	0.3477620354299007	0.18850594658674064	0.1584980759595598	0.1785611246309385	0.1760274349109779	0.21025390265724253	0.24443859890847278	0.2284774367003668	0.21841783662879127	0.21108445826250335	0.334635949270824	0.3569686525901405	0.28578351749127673	0.367131073186007	0.4012831054844771	0.40183092019325406	0.36264998210611077	0.31001142703766665	0.3296562650979691	0.33001983224478837	0.30936110763174374	0.23110112373624409	0.3618572179475709	0.30007284468104145
